last_update,station,city,state,latitude,longitude,aqi,pm25,pm10,no2,so2,co,o3,nh3,timestamp
2026-09-01 23:00:00,"Royapuram, Chennai - TNPCB",Chennai,Tamil Nadu,13.1036,80.2909,496,42.6,63.24,12.65,4.79,48.3,29.17,3.9,2026-09-02 09:53:35
2026-09-01 23:00:00,"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,21.121801,79.04952,334,33.23,46.86,10.39,5.83,22.26,14.12,2.76,2026-09-02 09:53:40
2026-09-01 23:00:00,"Thergaon, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,18.616318,73.765797,365,16.81,58.71,6.9,1.81,27.88,16.3,3.99,2026-09-02 09:53:45
2026-09-01 23:00:00,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,312,25.09,48.08,1.01,4.0,19.39,,1.86,2026-09-02 09:53:50
2026-09-01 23:00:00,"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,29.8006,76.4155,317,2026-09-02T10:16:08.299546,107.52,115.51,23.72,28.15,18.13,14.82,5.2
2026-09-01 23:00:00,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,12.21041,76.37376,351,2026-09-02T10:16:13.601365,18.62,49.77,19.81,3.96,25.66,56.87,4.06
2026-09-01 23:00:00,"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,26.10887,91.589544,404,2026-09-02T10:16:18.763914,77.98,53.96,22.95,9.93,33.66,13.68,6.19
2026-09-01 23:00:00,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,28.73282,77.170633,500,2026-09-02T10:16:23.895226,46.46,105.68,21.85,16.48,101.11,19.32,11.89
2026-09-01 23:00:00,"Kasarvadavali, Thane - MPCB",Thane,Maharashtra,19.26777,72.97182,474,2026-09-02T10:16:29.032909,29.78,43.26,43.37,6.45,0.0
2026-09-01 23:00:00,"Bawana, Delhi - DPCC",Delhi,Delhi,28.7762,77.051074,498,2026-09-02T10:16:34.192253,58.04,102.88,7.38,9.15,55.17,17.02,6.45
2026-09-01 23:00:00,"Dnyaneshwar Nagar, Solapur - MPCB",Solapur,Maharashtra,17.633626,75.91325,221,2026-09-02T10:16:39.360486,17.02,33.33,7.83,0.97,12.57,16.67,6.5
2026-09-01 23:00:00,"Talkatora Garden, Delhi - DPCC",Delhi,Delhi,28.62181,77.194463,475,2026-09-02T10:16:44.499512,48.8,73.89,26.4,1.0,43.1,15.35,1.07
2026-09-01 23:00:00,"MD University, Rohtak - HSPCB",Rohtak,Haryana,28.52123,76.37138,429,2026-09-02T10:16:49.639100,63.3,77.43,9.97,9.94,40.15,24.1
2026-09-01 23:00:00,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,19.710842,77.151824,324,2026-09-02T10:16:54.768866,22.33,51.32,7.27,4.61,17.86,11.65,2.15
2026-09-01 23:00:00,"Dhanmandi, Kota - RSPCB",Kota,Rajasthan,25.16409,75.858137,314,2026-09-02T10:16:59.891608,22.73,55.24,21.13,9.45,17.03,40.08,1.09
2026-09-01 23:00:00,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,28.530785,77.271255,497,2026-09-02T10:17:05.017270,47.12,114.25,28.84,9.1,56.19,23.92,6.02
2026-09-01 23:00:00,"Ratandeep Housing Society, Solapur - MPCB",Solapur,Maharashtra,17.65439,75.90649,361,2026-09-02T10:17:10.157406,33.91,37.12,16.83,1.85,23.64,23.75,2.96
2026-09-01 23:00:00,"Rama Rao Peta, Kakinada - APPCB",Kakinada,Andhra Pradesh,16.962488,82.229513,294,2026-09-02T10:17:15.279062,24.82,41.42,50.01,13.42,17.56,25.04,4.19
2026-09-01 23:00:00,"Airport Area, Indore - IMC",Indore,Madhya Pradesh,22.7289,75.8076,411,2026-09-02T10:17:20.412386,45.3,61.03,22.96,9.02,41.76,7.47,0.0
2026-09-01 23:00:00,"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,30.233011,74.907758,310,2026-09-02T10:17:25.661279,40.61,60.3,29.73,14.69,22.56
2026-09-01 23:00:00,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.470314,80.322986,475,2026-09-02T10:17:30.786619,24.1,20.94,49.23,10.79,44.82,7.52
2026-09-01 23:00:00,"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,Himachal Pradesh,30.943887,76.801991,500,2026-09-02T10:17:35.919746,95.54,148.07,10.23,7.03,101.77,36.37,3.64
2026-09-01 23:00:00,"Pimpleshwar Mandir, Kalyan - MPCB",Kalyan,Maharashtra,19.192056,72.958519,497,2026-09-02T10:17:41.039099,30.71,43.63,15.19,13.25,54.44,17.8,1.01
